"Sleep.Date","ZQ","Total.Z","Time.to.Z","Time.in.Wake","Time.in.REM","Time.in.Light","Time.in.Deep","Awakenings","Morning.Feel","MP","Disturbance"
2013-01-12,96,563,28,26,164,337,62,12,2,"3",1.84662797530269
2013-01-13,90,503,29,21,173,267,64,9,3,"4",0.658190135494773
2013-01-14,89,505,15,19,173,271,61,11,2,"3",0.212894992986068
2013-01-15,90,527,37,29,190,288,49,11,2,"4",2.32027018361367
2013-01-16,96,559,22,26,162,334,63,11,2,"3",1.09137622268427
2013-01-17,98,602,21,58,217,331,55,18,4,"3",5.06654015051641
2013-01-18,101,584,51,51,198,320,67,12,3,"3",4.84199393761981
2013-01-19,91,520,16,43,156,292,72,11,3,"2",1.59106012742206
2013-01-20,85,489,40,52,169,254,67,11,3,"2",3.78603850085747
2013-01-21,91,497,43,14,172,265,60,6,2,"3",0.284260165310802
2013-01-22,80,476,26,32,140,287,50,10,2,"3",1.37324238301722
2013-01-23,92,522,82,25,190,285,48,6,1,"3",3.65366868159267
2013-01-24,84,462,81,7,145,258,60,6,2,"4",2.60228645565434
2013-01-25,85,469,43,42,147,256,67,6,4,"4",1.80924707163319
2013-01-26,90,504,14,13,144,299,61,6,3,"3",-1.83017516568793
2013-01-27,112,607,20,17,198,331,79,7,3,"2",-0.857068140737731
2013-01-28,91,537,22,28,185,298,55,13,3,"2",1.85840535874254
2013-01-29,98,551,31,24,184,297,71,11,3,"2",1.62175009052673
2013-01-30,96,524,25,18,189,273,63,7,3,"3",-0.447436820427929
2013-01-31,95,524,29,16,167,285,73,9,2,"3",0.38587104508006
2013-02-01,87,508,36,45,168,285,56,9,2,"4",2.462556272603
2013-02-02,87,496,20,27,141,297,58,6,2,"3",-0.641480709854499
2013-02-03,87,498,29,30,142,300,56,6,3,"4",0.161212248402676
2013-02-04,86,465,42,10,165,240,60,6,3,"3",-0.00462860746634053
2013-02-05,84,474,37,28,135,277,63,7,3,"4",0.949603365745959
2013-02-06,106,584,15,24,181,325,79,8,3,"3",-0.5019381664378
2013-02-07,91,523,24,41,161,299,64,9,1,"2",1.39229899492676
2013-02-08,84,487,27,78,151,270,66,7,1,"4",2.96245926543937
2013-02-09,88,482,40,17,162,261,59,6,2,"4",0.234551118223514
2013-02-10,104,587,14,16,185,341,62,7,3,"3",-1.3377329614929
2013-02-11,94,522,15,19,160,300,63,6,3,"3",-1.4323587567449
2013-02-12,110,601,16,11,202,333,66,5,4,"2",-2.12608655090926
2013-02-13,84,466,32,1,147,280,40,2,3,"4",-2.52134097445132
2013-02-14,108,591,23,22,178,332,81,7,3,"3",-0.371648548986903
2013-02-15,92,521,28,40,175,291,55,5,3,"3",0.305766178840536
2013-02-16,105,581,11,15,181,328,72,8,4,"3",-1.27624653096577
2013-02-17,93,526,27,19,158,308,61,7,3,"2",-0.250906001454243
2013-02-18,85,486,43,10,173,271,43,7,4,"3",0.395455642925225
2013-02-19,104,558,33,11,183,290,86,9,3,"3",0.397685956446835
2013-02-20,83,472,43,19,136,287,49,4,3,"2",-0.101522244166872
2013-02-21,97,534,25,24,166,297,72,6,3,"3",-0.449704661876467
2013-02-22,89,502,19,17,144,304,54,5,3,"2",-1.58620314107549
2013-02-23,89,495,21,31,157,277,61,5,3,"3",-0.68164268702355
2013-02-24,100,560,13,14,199,305,56,8,3,"3",-1.18864334815797
2013-02-25,97,538,20,16,173,292,74,10,3,"3",0.0756202910179062
2013-02-26,89,496,30,21,154,293,49,2,2,"3",-1.57413161368321
2013-02-27,81,438,33,4,134,250,55,3,2,"2",-1.95786526981092
2013-02-28,82,464,35,34,153,263,49,5,2,"3",0.476217773460484
2013-03-01,78,444,35,27,139,259,47,4,2,"3",-0.234079703066307
2013-03-02,102,552,20,13,189,296,68,6,3,"3",-1.40397416301569
2013-03-03,97,530,26,7,176,299,55,4,2,"3",-1.9626575687335
2013-03-04,93,522,28,5,167,314,42,2,3,"3",-2.58761970390103
2013-03-05,107,586,9,5,194,334,59,3,3,"3",-3.60820546241691
